metadata: measurement UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,extent: extent,extent: n folios,extent: n endleaves,extent: n later endleaves,rolls: height,rolls: height max,rolls: height min,rolls: width,rolls: width max,rolls: width min,rolls: unit,rolls: converted,fragments: height,fragments: height max,fragments: height min,fragments: width,fragments: width max,fragments: width min,fragments: unit,leaves: height,leaves: height max,leaves: height min,leaves: width,leaves: width max,leaves: width min,leaves: depth,leaves: depth max,leaves: depth min,leaves: unit,columns: n,columns: n max,columns: n min,columns: height,columns: height max,columns: height min,columns: width,columns: width max,columns: width min,columns: unit,intercolumn: width,intercolumn: width max,intercolumn: width min,intercolumn: unit,written area: n,written area: n max,written area: n min,written area: height,written area: height max,written area: height min,written area: width,written area: width max,written area: width min,written area: unit,ruling: n,ruling: n max,ruling: n min,ruling: height,ruling: height max,ruling: height min,ruling: width,ruling: width max,ruling: width min,ruling: unit,ruling: medium,ruling: top line
Merton_College_MS_311_measure_1,manuscript_10408,Merton_College,Merton_College_MS_311,Merton College MS. 311,manuscript-composite,,Merton_College_MS_311,136 leaves All edges heavily retrimmed and spattered with red.,136.0,,,,,,,,,,,,,,,,,,250.0,250.0,250.0,175.0,175.0,175.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merton_College_MS_311_measure_2,manuscript_10408,Merton_College,Merton_College_MS_311,Merton College MS. 311,part,,Merton_College_MS_311-part1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,36.0,36.0,36.0,170–80,180.0,170.0,95–110,110.0,95.0,mm,,,,,,,,,,,crayon,
Merton_College_MS_311_measure_3,manuscript_10408,Merton_College,Merton_College_MS_311,Merton College MS. 311,part,,Merton_College_MS_311-part2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,36 50,50.0,36.0,190–210,210.0,190.0,125–30,130.0,125.0,mm,,,,,,,,,,,,
Merton_College_MS_312_measure_1,manuscript_10409,Merton_College,Merton_College_MS_312,Merton College MS. 312,manuscript-composite,,Merton_College_MS_312,135 leaves (ii + 133) The edges retrimmed and spattered with red.,133.0,,2.0,,,,,,,,,,,,,,,,255.0,255.0,255.0,190.0,190.0,190.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merton_College_MS_312_measure_2,manuscript_10409,Merton_College,Merton_College_MS_312,Merton College MS. 312,part,,Merton_College_MS_312-part1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,37.0,37.0,37.0,200.0,200.0,200.0,130.0,130.0,130.0,mm,,,,,,,,,,,,
Merton_College_MS_312_measure_3,manuscript_10409,Merton_College,Merton_College_MS_312,Merton College MS. 312,part,,Merton_College_MS_312-part2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,40.0,40.0,40.0,210.0,210.0,210.0,120.0,120.0,120.0,mm,,,,,,,,,,,,
Merton_College_MS_313_measure_1,manuscript_10410,Merton_College,Merton_College_MS_313,Merton College MS. 313,manuscript,,Merton_College_MS_313,"164 leaves (iv + 161, omitting 45) The edges retrimmed and spattered with red.",161.0,,4.0,,,,,,,,,,,,,,,,240.0,240.0,240.0,165.0,165.0,165.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,36.0,36.0,36.0,195.0,195.0,195.0,115.0,115.0,115.0,mm,,,,,,,,,,,,
Merton_College_MS_314_measure_1,manuscript_10411,Merton_College,Merton_College_MS_314,Merton College MS. 314,manuscript-composite,,Merton_College_MS_314,"200 leaves (iv + 195, incl. 12A) The edges retrimmed with occasional loss of text and marginalia and spattered with red.",195.0,,4.0,,,,,,,,,,,,,,,,240.0,240.0,240.0,170.0,170.0,170.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merton_College_MS_314_measure_2,manuscript_10411,Merton_College,Merton_College_MS_314,Merton College MS. 314,part,,Merton_College_MS_314-part1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,49.0,49.0,49.0,195.0,195.0,195.0,130.0,130.0,130.0,mm,,,,,,,,,,,crayon,
Merton_College_MS_314_measure_3,manuscript_10411,Merton_College,Merton_College_MS_314,Merton College MS. 314,part,,Merton_College_MS_314-part2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,38 40,40.0,38.0,185.0,185.0,185.0,120.0,120.0,120.0,mm,,,,,,,,,,,crayon,
Merton_College_MS_314_measure_4,manuscript_10411,Merton_College,Merton_College_MS_314,Merton College MS. 314,part,,Merton_College_MS_314-part3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,49.0,49.0,49.0,200.0,200.0,200.0,130.0,130.0,130.0,mm,,,,,,,,,,,,
Merton_College_MS_314_measure_5,manuscript_10411,Merton_College,Merton_College_MS_314,Merton College MS. 314,part,,Merton_College_MS_314-part4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,48.0,48.0,48.0,210.0,210.0,210.0,150.0,150.0,150.0,mm,,,,,,,,,,,,
Merton_College_MS_314_measure_6,manuscript_10411,Merton_College,Merton_College_MS_314,Merton College MS. 314,part,,Merton_College_MS_314-part5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,44.0,44.0,44.0,200.0,200.0,200.0,120.0,120.0,120.0,mm,,,,,,,,,,,,
